"PROVRE","EDAD_r","DEPRE","ndef"
2,41,14,3.32417785975904
2,41,12,5.54029643293173
2,41,13,3.32417785975904
2,41,5,3.32602155241559
2,41,6,7.75641500610442
2,41,9,2.21723556842127
2,41,1,8.86883458501378
2,41,3,6.64835571951808
2,41,11,2.21611857317269
2,41,15,4.43223714634538
2,41,7,7.75641500610442
2,41,2,4.43223714634538
2,41,8,7.75641500610442
2,42,15,2.6769995866126
2,42,2,4.01549937991891
2,42,9,5.35669776151816
2,42,3,1.3384997933063
2,42,5,2.67848433402614
2,42,11,5.35399917322521
2,42,12,4.01549937991891
2,42,4,18.747954561884
2,42,7,6.69249896653151
2,42,14,5.35399917322521
2,42,8,4.01549937991891
2,42,6,6.69249896653151
2,42,10,4.01549937991891
2,42,1,5.35663271930156
2,43,9,5.64647709885024
2,43,5,3.38805759631017
2,43,14,3.38617951560268
2,43,11,3.38617951560268
2,43,3,4.51490602080357
2,43,4,3.38779814825832
2,43,7,4.51490602080357
2,43,15,4.51490602080357
2,43,6,3.38617951560268
2,43,10,3.38617951560268
2,43,1,4.51712683045473
2,43,2,3.38617951560268
2,43,8,5.64363252600447
2,43,12,4.51490602080357
2,43,13,5.64363252600447
2,44,6,7.78201515585948
2,44,2,1.11171645083707
2,44,9,6.67366075074067
2,44,10,5.55858225418534
2,44,3,7.78201515585948
2,44,1,3.33678985883315
2,44,7,11.1171645083707
